Wavenumber,Intensities
2.822900000000000205e+02,6.902926518336665040e-01
2.838648680351906251e+02,7.162404631467486071e-01
2.854397360703812296e+02,7.263597808915464027e-01
2.870146041055718911e+02,7.285010300970136132e-01
2.885894721407624957e+02,7.207076984627409644e-01
2.901643401759531002e+02,7.054411760753621641e-01
2.917392082111437048e+02,6.867961161234543699e-01
2.933140762463343094e+02,6.645538853675772017e-01
2.948889442815249708e+02,6.433477347932633483e-01
2.964638123167155754e+02,6.242437682257726550e-01
2.980386803519061800e+02,6.086799183952638082e-01
2.996135483870967846e+02,5.935416269407099987e-01
3.011884164222873892e+02,5.749429114529334139e-01
3.027632844574780506e+02,5.585579778756522007e-01
3.043381524926686552e+02,5.439583851138359849e-01
3.059130205278592598e+02,5.304191228659683732e-01
3.074878885630498644e+02,5.158684222302951650e-01
3.090627565982404690e+02,4.999063207985309232e-01
3.106376246334311304e+02,4.839895740349356990e-01
3.122124926686217350e+02,4.660276363602535166e-01
3.137873607038123396e+02,4.472515379962036519e-01
3.153622287390029442e+02,4.275662309949132545e-01
3.169370967741935488e+02,4.063966455076776230e-01
3.185119648093842102e+02,3.842871557081700140e-01
3.200868328445748148e+02,3.618290719979688208e-01
3.216617008797654194e+02,3.383891732984981027e-01
3.232365689149560239e+02,3.137173972004938527e-01
3.248114369501466285e+02,2.890144743476230627e-01
3.263863049853372900e+02,2.640224919044621976e-01
3.279611730205278946e+02,2.392087234445395005e-01
3.295360410557184991e+02,2.148885490955474153e-01
3.311109090909091037e+02,1.908715426492803846e-01
3.326857771260997083e+02,1.683900672469152149e-01
3.342606451612903697e+02,1.461452950563160158e-01
3.358355131964809743e+02,1.244217573774402674e-01
3.374103812316715789e+02,1.039627889067192834e-01
3.389852492668621835e+02,8.408929808069906531e-02
3.405601173020527881e+02,6.487021763157002630e-02
3.421349853372434495e+02,4.666361163951624619e-02
3.437098533724340541e+02,2.972307763518000634e-02
3.452847214076246587e+02,1.289300969983698218e-02
3.468595894428152633e+02,-2.892549530306551611e-03
3.484344574780058679e+02,-1.754665113819444539e-02
3.500093255131964725e+02,-3.142084632100631408e-02
3.515841935483871339e+02,-4.421109033559689899e-02
3.531590615835777385e+02,-5.628614631301950139e-02
3.547339296187683431e+02,-6.772446355444630695e-02
3.563087976539589476e+02,-7.862720290381632060e-02
3.578836656891495522e+02,-8.856837272783989190e-02
3.594585337243402137e+02,-9.779289918319938879e-02
3.610334017595308183e+02,-1.065524372442815115e-01
3.626082697947214228e+02,-1.145056813943020058e-01
3.641831378299120274e+02,-1.215226659062333681e-01
3.657580058651026320e+02,-1.281680193032106174e-01
3.673328739002932934e+02,-1.338929301664925631e-01
3.689077419354838980e+02,-1.383772358985465301e-01
3.704826099706745026e+02,-1.410367039799114430e-01
3.720574780058651072e+02,-1.400917085434548182e-01
3.736323460410557118e+02,-1.403263420047596577e-01
3.752072140762463732e+02,-1.487111508135081916e-01
3.767820821114369778e+02,-1.575437759007237704e-01
3.783569501466275824e+02,-1.620913691948943081e-01
3.799318181818181870e+02,-1.642123793959611444e-01
3.815066862170087916e+02,-1.655661059579703887e-01
3.830815542521994530e+02,-1.662060345342024348e-01
3.846564222873900576e+02,-1.656907031152695942e-01
3.862312903225806622e+02,-1.644731982866607656e-01
3.878061583577712668e+02,-1.632173821144314585e-01
3.893810263929618714e+02,-1.620521169098208258e-01
3.909558944281525328e+02,-1.601004142623775883e-01
3.925307624633431374e+02,-1.572731895823780146e-01
3.941056304985337420e+02,-1.545472123654015872e-01
3.956804985337243465e+02,-1.522167151446708055e-01
3.972553665689149511e+02,-1.496396763101627558e-01
3.988302346041056126e+02,-1.465885917216024903e-01
4.004051026392962171e+02,-1.434296807520759887e-01
4.019799706744868217e+02,-1.400729639739815846e-01
4.035548387096774263e+02,-1.367307665837680375e-01
4.051297067448680309e+02,-1.338734699830016195e-01
4.067045747800586923e+02,-1.311564492449659447e-01
4.082794428152492969e+02,-1.281075085196777819e-01
4.098543108504399015e+02,-1.243857414038637005e-01
4.114291788856305629e+02,-1.205122723039538241e-01
4.130040469208211107e+02,-1.165213763719044338e-01
4.145789149560117721e+02,-1.123356488395920033e-01
4.161537829912023767e+02,-1.079768966979476608e-01
4.177286510263929813e+02,-1.034504360429447517e-01
4.193035190615836427e+02,-9.827365550497027535e-02
4.208783870967741905e+02,-9.125159449392554467e-02
4.224532551319648519e+02,-8.010780178416548880e-02
4.240281231671554565e+02,-5.945738608710792600e-02
4.256029912023460611e+02,-1.671740108296658825e-02
4.271778592375367225e+02,5.535319615766099571e-02
4.287527272727272702e+02,1.012393181584988200e-01
4.303275953079179317e+02,6.459328739638368899e-02
4.319024633431085363e+02,5.288387159759855814e-03
4.334773313782991409e+02,-2.425596069412892450e-02
4.350521994134898023e+02,-3.645044758158941245e-02
4.366270674486803500e+02,-4.378822529553807325e-02
4.382019354838710115e+02,-4.684843397493962391e-02
4.397768035190616160e+02,-4.883806106581976142e-02
4.413516715542522206e+02,-5.051929846629672760e-02
4.429265395894428821e+02,-5.147652497006278277e-02
4.445014076246334298e+02,-5.107355266531522775e-02
4.460762756598240912e+02,-4.986371752618969089e-02
4.476511436950146958e+02,-4.845399797174737566e-02
4.492260117302053004e+02,-4.696887560808372247e-02
4.508008797653959618e+02,-4.548121777260757947e-02
4.523757478005865096e+02,-4.473259631649218609e-02
4.539506158357771710e+02,-4.400296366451664221e-02
4.555254838709677756e+02,-4.322095599198987059e-02
4.571003519061583802e+02,-4.247471898284751329e-02
4.586752199413490416e+02,-4.193480441348700072e-02
4.602500879765395894e+02,-4.112706243205953294e-02
4.618249560117302508e+02,-4.041059996432476431e-02
4.633998240469208554e+02,-3.959367099733669682e-02
4.649746920821114600e+02,-3.829110683084768763e-02
4.665495601173021214e+02,-3.697533520517365391e-02
4.681244281524926691e+02,-3.564069341932317447e-02
4.696992961876833306e+02,-3.417879586940483078e-02
4.712741642228739352e+02,-3.244296023369323823e-02
4.728490322580645397e+02,-3.109122386535778312e-02
4.744239002932552012e+02,-3.014760185655029207e-02
4.759987683284457489e+02,-2.924169682277820079e-02
4.775736363636364104e+02,-2.775729944727541726e-02
4.791485043988270149e+02,-2.474730391706905092e-02
4.807233724340176195e+02,-2.104138370595285551e-02
4.822982404692082810e+02,-1.945795989982647065e-02
4.838731085043988287e+02,-1.992268221252432164e-02
4.854479765395894901e+02,-2.116039427901428641e-02
4.870228445747800947e+02,-2.174827879117007326e-02
4.885977126099706993e+02,-2.121922862398155710e-02
4.901725806451613607e+02,-2.005459406212134477e-02
4.917474486803519085e+02,-1.960309049571096543e-02
4.933223167155425699e+02,-1.968247046428892727e-02
4.948971847507331745e+02,-2.068586080939544339e-02
4.964720527859237791e+02,-2.360933096726074848e-02
4.980469208211144405e+02,-2.674481548726807129e-02
4.996217888563049883e+02,-2.924434172649209920e-02
5.011966568914956497e+02,-3.150303956253382165e-02
5.027715249266862543e+02,-3.336744867600686254e-02
5.043463929618768589e+02,-3.471408353623194054e-02
5.059212609970675203e+02,-3.616069273158977609e-02
5.074961290322580680e+02,-3.747674919133492377e-02
5.090709970674487295e+02,-3.818125449876842714e-02
5.106458651026393341e+02,-3.900069456922714700e-02
5.122207331378299386e+02,-3.980338839983950383e-02
5.137956011730206001e+02,-4.011942027236469616e-02
5.153704692082111478e+02,-4.074231098815347257e-02
5.169453372434018092e+02,-4.083257178486756483e-02
5.185202052785923570e+02,-4.141985685093928227e-02
5.200950733137830184e+02,-4.215485398926182431e-02
5.216699413489736799e+02,-4.252085504691339307e-02
5.232448093841642276e+02,-4.301980035317685969e-02
5.248196774193548890e+02,-4.385476503854297825e-02
5.263945454545455505e+02,-4.461906436624989841e-02
5.279694134897360982e+02,-4.530364871524000803e-02
5.295442815249267596e+02,-4.609108189828915042e-02
5.311191495601173074e+02,-4.610807951085261341e-02
5.326940175953079688e+02,-4.600777633643741288e-02
5.342688856304985165e+02,-4.606684204869489901e-02
5.358437536656891780e+02,-4.704337794470171003e-02
5.374186217008798394e+02,-4.824924267944327716e-02
5.389934897360703872e+02,-4.942074168336794970e-02
5.405683577712610486e+02,-4.986799581674068033e-02
5.421432258064517100e+02,-4.941202398395379281e-02
5.437180938416422578e+02,-4.903321176681973287e-02
5.452929618768328055e+02,-4.991495511359208409e-02
5.468678299120234669e+02,-5.162587442206905547e-02
5.484426979472141284e+02,-5.331850875110076549e-02
5.500175659824046761e+02,-5.453309811766966081e-02
5.515924340175953375e+02,-5.538225301742177864e-02
5.531673020527859990e+02,-5.611967298813240468e-02
5.547421700879765467e+02,-5.697513709473746302e-02
5.563170381231672081e+02,-5.793933261832856507e-02
5.578919061583578696e+02,-5.935435101548599407e-02
5.594667741935484173e+02,-6.083879489965595549e-02
5.610416422287389651e+02,-6.282436310468211826e-02
5.626165102639296265e+02,-6.448035185047273909e-02
5.641913782991202879e+02,-6.640189259006318290e-02
5.657662463343108357e+02,-6.821169371965242478e-02
5.673411143695014971e+02,-6.904840594146791077e-02
5.689159824046921585e+02,-7.081224275474042040e-02
5.704908504398827063e+02,-7.321840108094745947e-02
5.720657184750733677e+02,-7.431785395019588347e-02
5.736405865102640291e+02,-7.552302883933501021e-02
5.752154545454545769e+02,-7.609507075404735310e-02
5.767903225806451246e+02,-7.477210826476830829e-02
5.783651906158357860e+02,-7.206165278991862044e-02
5.799400586510264475e+02,-7.198663454967564601e-02
5.815149266862169952e+02,-7.667218949940074468e-02
5.830897947214076567e+02,-8.213881953938885483e-02
5.846646627565983181e+02,-8.609841623941137667e-02
5.862395307917888658e+02,-8.959499223551754821e-02
5.878143988269795273e+02,-9.220738180277336660e-02
5.893892668621701887e+02,-9.448726265397745794e-02
5.909641348973607364e+02,-9.631355509015465666e-02
5.925390029325512842e+02,-9.784016763007437334e-02
