Wavenumber,Intensities
2.822900000000000205e+02,-5.022344814606775898e-02
2.838648680351906251e+02,2.340174191860016836e-02
2.854397360703812296e+02,6.838484287348596535e-02
2.870146041055718911e+02,1.104428981540637733e-01
2.885894721407624957e+02,1.421115769011917218e-01
2.901643401759531002e+02,1.590595827006530127e-01
2.917392082111437048e+02,1.660633258278168545e-01
2.933140762463343094e+02,1.667183048635802745e-01
2.948889442815249708e+02,1.686976095167646850e-01
2.964638123167155754e+02,1.689120794364398215e-01
2.980386803519061800e+02,1.706913901987648641e-01
2.996135483870967846e+02,1.720852819877358442e-01
3.011884164222873892e+02,1.654632611305661971e-01
3.027632844574780506e+02,1.573107285560850221e-01
3.043381524926686552e+02,1.521056060140252852e-01
3.059130205278592598e+02,1.450208020597787140e-01
3.074878885630498644e+02,1.335212500017887438e-01
3.090627565982404690e+02,1.203396944529061680e-01
3.106376246334311304e+02,1.071827672006461091e-01
3.122124926686217350e+02,9.007507377340791266e-02
3.137873607038123396e+02,7.544808312294198904e-02
3.153622287390029442e+02,6.174198650443245284e-02
3.169370967741935488e+02,4.852280220600354438e-02
3.185119648093842102e+02,3.312107179662735629e-02
3.200868328445748148e+02,1.531069435075467847e-02
3.216617008797654194e+02,-4.160006073141815468e-03
3.232365689149560239e+02,-2.433474961923169297e-02
3.248114369501466285e+02,-4.343921624617914229e-02
3.263863049853372900e+02,-6.417543813513112982e-02
3.279611730205278946e+02,-8.499749546992799165e-02
3.295360410557184991e+02,-1.051219281672802347e-01
3.311109090909091037e+02,-1.237939886451771970e-01
3.326857771260997083e+02,-1.410393571790201084e-01
3.342606451612903697e+02,-1.598632904762117002e-01
3.358355131964809743e+02,-1.776459581476425298e-01
3.374103812316715789e+02,-1.926101587421295280e-01
3.389852492668621835e+02,-2.074507196392596786e-01
3.405601173020527881e+02,-2.224859157677834265e-01
3.421349853372434495e+02,-2.363489550584338406e-01
3.437098533724340541e+02,-2.484386848531801584e-01
3.452847214076246587e+02,-2.609720857602025323e-01
3.468595894428152633e+02,-2.735114459900900852e-01
3.484344574780058679e+02,-2.841217805793973539e-01
3.500093255131964725e+02,-2.925111430839767435e-01
3.515841935483871339e+02,-3.011160653425767886e-01
3.531590615835777385e+02,-3.090433301445042469e-01
3.547339296187683431e+02,-3.150884180995096040e-01
3.563087976539589476e+02,-3.211037388741838638e-01
3.578836656891495522e+02,-3.274053671344453464e-01
3.594585337243402137e+02,-3.332425740388677560e-01
3.610334017595308183e+02,-3.362299035964503857e-01
3.626082697947214228e+02,-3.390404183661692716e-01
3.641831378299120274e+02,-3.419305608326389523e-01
3.657580058651026320e+02,-3.421883313839964025e-01
3.673328739002932934e+02,-3.404237485813904063e-01
3.689077419354838980e+02,-3.391059092786425366e-01
3.704826099706745026e+02,-3.314587876741492689e-01
3.720574780058651072e+02,-3.101215139386402919e-01
3.736323460410557118e+02,-2.930645284570275733e-01
3.752072140762463732e+02,-3.067064938920557871e-01
3.767820821114369778e+02,-3.257892380189695292e-01
3.783569501466275824e+02,-3.324353289793448019e-01
3.799318181818181870e+02,-3.318663439220106426e-01
3.815066862170087916e+02,-3.298977932346748854e-01
3.830815542521994530e+02,-3.262236149872089763e-01
3.846564222873900576e+02,-3.211333837218990350e-01
3.862312903225806622e+02,-3.145623963148440061e-01
3.878061583577712668e+02,-3.072075590920797517e-01
3.893810263929618714e+02,-3.006238200167475894e-01
3.909558944281525328e+02,-2.941426543833727258e-01
3.925307624633431374e+02,-2.874763084854052853e-01
3.941056304985337420e+02,-2.815257648010023872e-01
3.956804985337243465e+02,-2.739022130384309861e-01
3.972553665689149511e+02,-2.666389773473533120e-01
3.988302346041056126e+02,-2.596980700976779244e-01
4.004051026392962171e+02,-2.516904186052358328e-01
4.019799706744868217e+02,-2.437578365617262821e-01
4.035548387096774263e+02,-2.371232769096207615e-01
4.051297067448680309e+02,-2.305294009804342570e-01
4.067045747800586923e+02,-2.222887474593202850e-01
4.082794428152492969e+02,-2.137629501664689291e-01
